,date,policy_type,start_stop,comments,total_phases,state
0,2020-05-18,Manufacturing,start,"Policy_Details: Open with adjusted ""Safe Practices""   Source information: https://governor.hawaii.gov/wp-content/uploads/2020/05/2005088-ATG_Eighth-Supplementary-Proclamation-for-COVID-19-distribution-signed.pdf",,HI
5,2020-05-28,Childcare (K-12),start,"Policy_Details: 50% capacity Phase Level: 2, Phase Details Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.05.26%20%281%29.pdf",,IA
7,2020-05-04,Phase 2,start,"Policy_Details: manufacturering & industrial operations, public libraries, retail & commercial businesses open at 50% capacity (shopping mall) indoor common areas open at 25% capacity) Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
9,2020-03-25,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TN
10,2020-03-20,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,VT
12,2020-03-19,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,CT
13,2020-03-15,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open",,NY
20,2020-05-22,Entertainment,start,"Policy_Details: On May 22, many attractions, including zoos, museums, aquariums, planetariums, water parks and amusement park rides, reopened with additional physical distancing guidelines.   Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/",,SC
21,2020-07-09,Phase 3,start,"Policy_Details: Governor Polis issued Executive Order D 2020 127 that presents eight criteria that local communities must be able to meet before moving to the next phase, Protect Our Neighbors Phase Level: 3, Phase Details Source information: https://www.colorado.gov/governor/2020-executive-orders",,CO
22,2020-04-01,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,CO
24,2020-09-30,Non-Essential Businesses,start,"Policy_Details: On 9/30 amended Safer at Home order issued by Scott Harris, State Health Officer (previous order was set to expire 10/2, only change is for HOSPITALS AND NURSING HOMES- Subject to restrictions, patients and residents will be allowed visits from one caregiver or one visitor at a time):
WHAT’S STAYING THE SAME:
EMPLOYERS
Businesses may open subject to sanitation and social-distancing guidelines
RETAIL STORES
May open subject to 50% occupancy rate, social-distancing and sanitation rules
CLOSE-CONTACT SERVICE PROVIDERS
Close-contact service providers (such as barber shops, hair salons, nail salons, tattoo services) may open
subject to social-distancing and sanitation rules and guidelines   Source information: https://governor.alabama.gov/assets/2020/09/GKI-0040-2020-Health-Order-Update-Nov-8-Horizontal-2.pdf,https://governor.alabama.gov/assets/2020/09/Safer-at-Home-Order-Final-9.29.2020.pdf",,AL
25,2020-04-17,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,DC
26,2020-03-23,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,CA
29,2020-05-04,Outdoor and Recreation,start,"Policy_Details: """"""During Phase I, we can gradually start to reopen economic and social activity. This will be a deliberate process, and is flexible to adapt to the situation. Some communities may be able to reopen at a faster rate, while others may need to continue restrictions to keep the virus from spreading. During Phase I, we should limit our activity and interactions and continue to maintain social distancing and practice good hygiene to protect our neighbors and ourselves.

Citizens who feel sick should stay home!
Continue to practice good hygiene, including:
Washing hands with soap and water, or using hand sanitizer, especially after touching frequently used items or surfaces;
Avoiding touching your face;
Sneezing or coughing into a tissue, or the inside of your elbow; and
Disinfecting frequently used items and surfaces as much as possible.
Avoid socializing in groups that do not readily allow for appropriate physical distancing (receptions, trade shows, etc.). When in public (parks, outdoor recreation spaces, shopping malls, etc.), individuals should maximize physical distance from others.
Minimize travel to the extent possible.""""""   Source information: https://governor.mo.gov/sites/gov/files/media/pdf/2020/04/Economic-Reopening-Phase-1.pdf",,MO
30,2020-10-27,Phase 3,start,"Policy_Details: No greater than 50 people at indoor venues. Outdoor venues must operate at 25% capacity and follow guidelines. Guidelines include mask wearing, physical distancing, and frequent sanitation. Polling, educational activity, and religious activity are exempt from the gathering limits.   Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf",4.0,ID
35,2020-03-19,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,DC
36,2020-03-30,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TN
37,2020-03-11,State of Emergency,start,Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate,,NM
38,2020-06-15,Entertainment,start,"Policy_Details: Outdoor dining (beginning on June 15)
Limited in-person retail (beginning on June 15)
Hair salons and barber shops (beginning on June 22)
Youth summer programs (beginning on July 6)
In-person clinical research/labs
Limited fitness/gyms
Limited in-person government services (e.g. – Motor Vehicle Commission)
Museums/libraries Phase Level: 2, Phase Details Source information: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",,NJ
39,2020-05-15,Entertainment,start,"Policy_Details: drive-in operations (i.e. movie theaters, restaurants, religious services, graduation ceremonies) permited    Source information: https://accd.vermont.gov/news/update-new-work-safe-additions-be-smart-stay-safe-order",,VT
41,2020-03-23,Non-Essential Businesses,start,"Policy_Details: spas, salons, barber shops, tattoo parlors closed  Phase Level: 1, Phase Details Source information: https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf",5.0,IN
42,2020-03-23,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,OR
43,2020-03-17,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
49,2020-04-08,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,NJ
51,2020-06-16,Phase 3,start,Policy_Details: Restaurants / Food Services & Personal Care mat reopen   Source information: https://forward.ny.gov/phase-three-industries,,NY
54,2020-03-30,Shelter in Place,start,State Policy Start,,VA
56,2020-07-20,Phase 3,start,"Policy_Details: limits the number of individuals allowed in social gatherings during Phase 3 from 50 people to 10 people. 
counties in phase 2 may continue to have social gatherings of up to five people.    Source information: https://www.governor.wa.gov/news-media/inslee-announces-steps-address-covid-19-spread",,WA
57,2020-05-22,Entertainment,start,"Policy_Details: bars, nightclubs, amusement parks, water parks, festivals, fairs, parades, movie theaters remain closed  Phase Level: 3, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
59,2020-03-12,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,MD
63,2020-05-08,Entertainment,start,"Policy_Details: Stage 2 allows gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores, with modifications 

 Phase Level: 2, Phase Details Source information: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf",,CA
65,2020-05-26,Outdoor and Recreation,start,"Policy_Details: Gov't Justice   Source information: https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-announces-schedule-for-additional-reopenings-including-malls,-bars,-casinos,-and-more.aspx",,WV
71,2020-11-12,Mask Requirement,start,Policy_Details: Masks are still strongly encouraged in the orange risk level; all counties continue to be in this level.    Source information: https://oklahoma.gov/content/dam/ok/en/covid19/documents/alert-system/oklahomas_moderate_phase_flyer_english.pdf,,OK
72,2020-03-16,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,OK
80,2020-03-21,Day Care,start,"Policy_Details: day care centers granted emergency license to open  Phase Level: 1, Phase Details Source information: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-32.aspx",5.0,IL
81,0020-04-30,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AL
82,2020-06-10,Entertainment,start,"Policy_Details: Golf courses/driving ranges, outdoor archery/shooting ranges, marinas and watercraft rental businesses, campgrounds, horse boarding/riding facilities, drive in movie theaters, outdoor swimming pools, outdoor day camps, tour boats may open to general public Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-6.10.20.pdf",,MD
