Date,Value
2019-01-01,3346900.0
2019-02-01,3353500.0
2019-03-01,3381500.0
2019-04-01,3286700.0
2019-05-01,3244500.0
2019-06-01,3274800.0
2019-07-01,3260300.0
2019-08-01,3271400.0
2019-09-01,3202700.0
2019-10-01,3252800.0
2019-11-01,3315600.0
2019-12-01,3426500.0
2020-01-01,3442600.0
2020-02-01,3454500.0
2020-03-01,3883100.0
2020-04-01,4844900.0
2020-05-01,5149400.0
2020-06-01,5001800.0
2020-07-01,4700300.0
2020-08-01,4807400.0
2020-09-01,4880400.0
2020-10-01,4917200.0
2020-11-01,5093100.0
2020-12-01,5206600.0
