10-Dec,17-Dec,19-Nov,22-Dec,28-Dec,30-Nov,4-Dec,7-Dec,Additional Sources,Company,Company and Scientific Name,Company's Country,Confirmed agreement status,Date of Deal,Deal Last Updated Date,Distribution Priorities (stated by vaccine developer),EUA Approval Date,Expected Availability - Quarter,F41,First Delivery Date,Original Sources,Other notes,Partners,Population Distribution Priority (by purchaser),Purchaser Entity / Country,Purchaser's country Economic  Status,Purchaser's Country Income Status,Scientifc Name,Source (10/28/2020),Source (10/30/20),Source (11/10/20),Team Member (last updated by),Type of Vaccine,Vaccine  Cost to Individual,% of national population able to be vaccinated,% of national population able to be vaccinated with additional doses,Any Intermediaries,confirmed + potential ,COVID Burden (cases/million),COVID Burden (death/million),"COVID Burden Data is based on cumulative COVID-19 cases per million, extracted from https://ourworldindata.org/coronavirus",Doses intended to be purchased,EU population pulled from: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Population_statistics_at_regional,Expected Availability - Year,F1,Files Saved,First Delivery Dose,General Vaccine Uptake Rate,Inclusion in Partnerships,Key informants,Number of Doses Needed per Person,Number of Doses Procured,Number of people able to be vaccinated with additional doses,Number of people able to be vaccinated with doses procured,Population,Population covered with first delivery,Regulatory Approval Date,Second Delivery Dose,Target Price Per Dose,Value of Deal (USD)
Source,Source,,,,,,,https://www.reuters.com/article/health-coronavirus-astrazeneca/britain-and-other-nations-press-on-with-astrazeneca-vaccine-amid-trial-questions-idUSKBN28710J,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement,,,,2020/12/30,Q4,,,Providing at cost: https://www.bbc.co.uk/news/health-54027269; https://www.bbc.com/news/health-53469269,"Providing ""at cost"" during the pandemic to ensure equitable reach",AstraZeneca,,UK,High income,HIC,AZD1222,,,,Andrea,Adenoviral,,0.748117680,,,0.748117680,33331,930,,,,2020,1,,,,,,2,100000000,,50000000,66834405,,,,4,
Source:,,Source,,,,,,,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement,,,,,,,,,,AstraZeneca,,Argentina,Upper middle income,LMIC,AZD1222,,,,,Adenoviral,,0.244777821,,,0.244777821,35032,818.7,,,,,1,,,,,,2,22000000,,11000000,44938712,,,,4,
Source:,Source,Source,,,,,,Source: https://www.biospectrumasia.com/news/37/17263/australia-secures-20-million-extra-astra-zeneca-vaccines-doses.html,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement; also includes manufacturing info,,2020/12/11,,,Q1,,,https://www.biopharma-reporter.com/Article/2020/09/07/Australia-announces-deal-for-84-million-COVID-19-vaccine-doses,Added 20m to original order on Dec 11 2020,AstraZeneca,,Australia,High income,HIC,AZD1222,,,,,Adenoviral,,1.060545435,,,1.060545435,1110,35.57,,,,2021,1,,,,,,2,53800000,,26900000,25364307,,,,4,
Source:,,,,,Source,,Source:,,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement,,,,,Q1,,,,,AstraZeneca,,Bangladesh,Lower middle income,LMIC,AZD1222,,,,,Adenoviral,,0.091998486,,,0.091998486,3085,38.79,,,,2021,1,,,,,,2,30000000,,15000000,163046161,,,,,87000000
,Source,,,,Source,,Source,Source: https://www.fiercepharma.com/manufacturing/astrazeneca-bumps-up-vaccine-deal-brazil-to-360m-more-doses-licensing-rights,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement,2020/8/6,2020/12/11,,,Q4,also includes manufacturing,,Source: https://www.reuters.com/article/us-health-coronavirus-brazil/brazils-bolsonaro-orders-360-million-to-be-set-aside-for-astrazeneca-coronavirus-vaccine-idUSKCN2523BH,"Source says this ""builds on"" previous agreement for 30m but not sure if that is included in 100m or not. ""Brazil has also committed to produce an additional 70 million doses, with AstraZeneca supplying the unfinished vaccine at no cost.""",AstraZeneca,,Brazil,Upper middle income,LMIC,AZD1222,,,,Andrea,Adenoviral,,0.236911216,,,0.236911216,32791,845.72,,,,2020,1,,,,,,2,100000000,,50000000,211049527,,,,4,360000000
,,,,,Source:,Source,,,Oxford University,Oxford University_AZD1222,UK,Confirmed agreeement,,,,,,,,https://ipolitics.ca/2020/09/25/canada-signs-deal-with-astrazeneca-for-20m-doses-of-vaccine-candidate/,,AstraZeneca,,Canada,High income,HIC,AZD1222,,,,,Adenoviral,,0.266033422,,,0.266033422,14588,303.51,,,,,1,,,,,,2,20000000,,10000000,37589262,,,,4,
,,,,,,link,,,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement,,,,,Q1/Q2,,,,,AstraZeneca,,Chile,High income,HIC,AZD1222,https://fundacioncarlosslim.org/astrazeneca-anuncia-acuerdo-con-la-fundacion-carlos-slim-para-suministrar-la-vacuna-covid-19-a-america-latina/,,,,Adenoviral,,0.379906372,,,0.379906372,31303,788.28,,,,2021,1,,,,,,2,14400000,,7200000,18952038,,,,4,
,,,,,,,,,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement,2020/12/18,,,,,,,,,AstraZeneca,,Colombia,Upper middle income,LMIC,AZD1222,,,,Blen,Adenoviral,,0.099325692,,,0.099325692,31148,,,,,,1,,,,,,2,10000000,,5000000,50339443,,,,,
,,,,,,,,,Oxford University,Oxford University_AZD1222,UK,,2020/11/12,2020/12/11,,,Q1,,,,,AstraZeneca,,Costa Rica,Upper middle income,LMIC,AZD1222,,,,Blen,Adenoviral,,0.099057743,,,0.099057743,31996,,,,,2021,1,,,,,,2,1000000,,500000,5047561,,,,4,4000000
,,,,,,,,,Oxford University,Oxford University_AZD1222,UK,Confirmed agreement; also includes manufacturing info,,,,,Q4,,,CEPI: https://cepi.net/news_cepi/cepi-partners-with-astrazeneca-to-manufacture-300-million-globally-accessible-doses-of-covid-19-vaccine/,CEPI will invest a total of up to $383m in this partnership.,AstraZeneca,,COVAX,Global entity/ COVAX,Global Entity,AZD1222,,,,Blen,Adenoviral,,,,,0,,,,,,2020,1,,,,,,2,470000000,,235000000,,,,,3,
