,date,state,deathIncrease,hospitalizedIncrease,inIcuCurrently,negativeIncrease,onVentilatorCurrently,positiveIncrease
0,2021-01-15,AK,1,3,0.0,6650,10.0,300
1,2021-01-15,AL,85,313,0.0,10166,0.0,2945
2,2021-01-15,AR,35,95,434.0,12628,226.0,3124
4,2021-01-15,AZ,185,405,1138.0,12383,753.0,9146
5,2021-01-15,CA,637,0,4833.0,276515,0.0,42655
6,2021-01-15,CO,27,101,0.0,6770,0.0,2281
7,2021-01-15,CT,41,0,0.0,28599,0.0,1878
8,2021-01-15,DC,0,0,71.0,7642,30.0,320
9,2021-01-15,DE,7,0,56.0,1932,0.0,662
10,2021-01-15,FL,188,433,0.0,39799,0.0,16415
11,2021-01-15,GA,163,315,0.0,35666,0.0,7348
12,2021-01-15,GU,1,0,4.0,227,3.0,17
13,2021-01-15,HI,0,8,20.0,0,18.0,150
14,2021-01-15,IA,6,0,91.0,2208,35.0,1035
15,2021-01-15,ID,27,47,88.0,1899,0.0,994
16,2021-01-15,IL,149,0,712.0,100514,386.0,6642
17,2021-01-15,IN,44,188,551.0,9786,285.0,4666
18,2021-01-15,KS,147,173,201.0,12340,67.0,4093
19,2021-01-15,KY,19,80,392.0,10572,203.0,3925
20,2021-01-15,LA,0,0,0.0,25774,242.0,3705
21,2021-01-15,MA,76,0,451.0,16536,293.0,5525
22,2021-01-15,MD,45,162,421.0,12328,0.0,2924
23,2021-01-15,ME,16,11,61.0,13756,24.0,823
24,2021-01-15,MI,39,0,493.0,39417,256.0,3001
25,2021-01-15,MN,33,72,125.0,10618,0.0,1627
26,2021-01-15,MO,28,0,592.0,4543,334.0,2231
28,2021-01-15,MS,55,0,340.0,0,212.0,2342
29,2021-01-15,MT,9,23,34.0,6612,17.0,525
30,2021-01-15,NC,108,0,861.0,78630,0.0,8914
31,2021-01-15,ND,23,10,10.0,467,0.0,221
32,2021-01-15,NE,15,19,0.0,899,0.0,932
33,2021-01-15,NH,11,9,0.0,3363,0.0,722
34,2021-01-15,NJ,67,176,626.0,136196,438.0,6369
35,2021-01-15,NM,38,58,0.0,-14330,0.0,1262
36,2021-01-15,NV,40,0,418.0,3931,287.0,1878
37,2021-01-15,NY,187,0,1570.0,304729,962.0,19942
38,2021-01-15,OH,67,316,945.0,58066,646.0,7149
39,2021-01-15,OK,43,156,470.0,25547,0.0,3538
40,2021-01-15,OR,29,50,108.0,19971,58.0,1137
41,2021-01-15,PA,215,0,1010.0,12519,604.0,6047
42,2021-01-15,PR,13,0,50.0,0,60.0,1138
43,2021-01-15,RI,9,66,51.0,3519,35.0,1057
44,2021-01-15,SC,103,195,473.0,28845,289.0,4787
45,2021-01-15,SD,15,25,53.0,911,40.0,425
46,2021-01-15,TN,79,120,755.0,28581,402.0,5557
47,2021-01-15,TX,400,0,3663.0,117450,0.0,27204
48,2021-01-15,UT,12,102,210.0,5377,0.0,2543
49,2021-01-15,VA,30,146,580.0,20353,362.0,4795
51,2021-01-15,VT,1,0,6.0,1542,0.0,161
52,2021-01-15,WA,38,0,202.0,22355,93.0,2575
53,2021-01-15,WI,42,119,229.0,5771,0.0,2706
54,2021-01-15,WV,31,0,195.0,20245,102.0,1430
55,2021-01-15,WY,0,4,0.0,2173,0.0,208
56,2021-01-14,AK,2,11,0.0,11109,10.0,332
57,2021-01-14,AL,185,221,0.0,7366,0.0,3588
58,2021-01-14,AR,42,89,426.0,12685,241.0,2491
60,2021-01-14,AZ,182,397,1167.0,14858,821.0,7311
61,2021-01-14,CA,552,0,4878.0,251785,0.0,35930
62,2021-01-14,CO,31,94,0.0,6227,0.0,2403
63,2021-01-14,CT,17,0,0.0,21422,0.0,968
64,2021-01-14,DC,11,0,74.0,5043,29.0,220
65,2021-01-14,DE,1,0,56.0,2154,0.0,892
66,2021-01-14,FL,222,413,0.0,37435,0.0,13381
67,2021-01-14,GA,172,360,0.0,30669,0.0,6364
68,2021-01-14,GU,0,0,3.0,391,3.0,13
69,2021-01-14,HI,6,7,24.0,0,19.0,175
70,2021-01-14,IA,19,0,85.0,2510,35.0,1146
71,2021-01-14,ID,8,50,88.0,2186,0.0,1091
72,2021-01-14,IL,107,0,742.0,111384,382.0,6652
73,2021-01-14,IN,39,189,550.0,7925,280.0,4375
74,2021-01-14,KS,0,0,217.0,0,65.0,0
75,2021-01-14,KY,51,130,548.0,8699,196.0,4063
76,2021-01-14,LA,58,0,0.0,30778,245.0,5313
77,2021-01-14,MA,74,0,454.0,16498,294.0,5955
78,2021-01-14,MD,45,137,425.0,11783,0.0,2948
