date,state,deathIncrease,hospitalizedIncrease,inIcuCurrently,negativeIncrease,onVentilatorCurrently,positiveIncrease
2021-01-15,AK,1,3,0,6650,10,300
2021-01-15,AL,85,313,0,10166,0,2945
2021-01-15,AR,35,95,434,12628,226,3124
2021-01-15,AZ,185,405,1138,12383,753,9146
2021-01-15,CA,637,0,4833,276515,0,42655
2021-01-15,CO,27,101,0,6770,0,2281
2021-01-15,CT,41,0,0,28599,0,1878
2021-01-15,DC,0,0,71,7642,30,320
2021-01-15,DE,7,0,56,1932,0,662
2021-01-15,FL,188,433,0,39799,0,16415
2021-01-15,GA,163,315,0,35666,0,7348
2021-01-15,GU,1,0,4,227,3,17
2021-01-15,HI,0,8,20,0,18,150
2021-01-15,IA,6,0,91,2208,35,1035
2021-01-15,ID,27,47,88,1899,0,994
2021-01-15,IL,149,0,712,100514,386,6642
2021-01-15,IN,44,188,551,9786,285,4666
2021-01-15,KS,147,173,201,12340,67,4093
2021-01-15,KY,19,80,392,10572,203,3925
2021-01-15,LA,0,0,0,25774,242,3705
2021-01-15,MA,76,0,451,16536,293,5525
2021-01-15,MD,45,162,421,12328,0,2924
2021-01-15,ME,16,11,61,13756,24,823
2021-01-15,MI,39,0,493,39417,256,3001
2021-01-15,MN,33,72,125,10618,0,1627
2021-01-15,MO,28,0,592,4543,334,2231
2021-01-15,MS,55,0,340,0,212,2342
2021-01-15,MT,9,23,34,6612,17,525
2021-01-15,NC,108,0,861,78630,0,8914
2021-01-15,ND,23,10,10,467,0,221
2021-01-15,NE,15,19,0,899,0,932
2021-01-15,NH,11,9,0,3363,0,722
2021-01-15,NJ,67,176,626,136196,438,6369
2021-01-15,NM,38,58,0,-14330,0,1262
2021-01-15,NV,40,0,418,3931,287,1878
2021-01-15,NY,187,0,1570,304729,962,19942
2021-01-15,OH,67,316,945,58066,646,7149
2021-01-15,OK,43,156,470,25547,0,3538
2021-01-15,OR,29,50,108,19971,58,1137
2021-01-15,PA,215,0,1010,12519,604,6047
2021-01-15,PR,13,0,50,0,60,1138
2021-01-15,RI,9,66,51,3519,35,1057
2021-01-15,SC,103,195,473,28845,289,4787
2021-01-15,SD,15,25,53,911,40,425
2021-01-15,TN,79,120,755,28581,402,5557
2021-01-15,TX,400,0,3663,117450,0,27204
2021-01-15,UT,12,102,210,5377,0,2543
2021-01-15,VA,30,146,580,20353,362,4795
2021-01-15,VT,1,0,6,1542,0,161
2021-01-15,WA,38,0,202,22355,93,2575
2021-01-15,WI,42,119,229,5771,0,2706
2021-01-15,WV,31,0,195,20245,102,1430
2021-01-15,WY,0,4,0,2173,0,208
2021-01-14,AK,2,11,0,11109,10,332
2021-01-14,AL,185,221,0,7366,0,3588
2021-01-14,AR,42,89,426,12685,241,2491
2021-01-14,AZ,182,397,1167,14858,821,7311
2021-01-14,CA,552,0,4878,251785,0,35930
2021-01-14,CO,31,94,0,6227,0,2403
2021-01-14,CT,17,0,0,21422,0,968
2021-01-14,DC,11,0,74,5043,29,220
2021-01-14,DE,1,0,56,2154,0,892
2021-01-14,FL,222,413,0,37435,0,13381
2021-01-14,GA,172,360,0,30669,0,6364
2021-01-14,GU,0,0,3,391,3,13
2021-01-14,HI,6,7,24,0,19,175
2021-01-14,IA,19,0,85,2510,35,1146
2021-01-14,ID,8,50,88,2186,0,1091
2021-01-14,IL,107,0,742,111384,382,6652
2021-01-14,IN,39,189,550,7925,280,4375
2021-01-14,KS,0,0,217,0,65,0
2021-01-14,KY,51,130,548,8699,196,4063
2021-01-14,LA,58,0,0,30778,245,5313
2021-01-14,MA,74,0,454,16498,294,5955
2021-01-14,MD,45,137,425,11783,0,2948
2021-01-14,ME,8,16,63,8462,23,808
2021-01-14,MI,175,0,499,45873,258,3295
2021-01-14,MN,43,95,131,7021,0,1581
2021-01-14,MO,30,0,588,4738,332,2780
2021-01-14,MS,41,0,347,0,219,1948
2021-01-14,MT,8,14,36,6901,21,457
2021-01-14,NC,80,0,858,74136,0,9853
2021-01-14,ND,8,6,10,869,0,243
2021-01-14,NE,12,23,0,3169,0,1529
2021-01-14,NH,12,2,0,3098,0,653
2021-01-14,NJ,92,190,644,49859,456,7092
2021-01-14,NM,29,75,0,14148,0,1424
2021-01-14,NV,62,0,410,4238,288,2187
2021-01-14,NY,204,0,1536,198928,956,13661
2021-01-14,OH,109,340,952,47718,618,7654
2021-01-14,OK,34,261,474,15835,0,3142
2021-01-14,OR,41,71,113,16557,53,1329
2021-01-14,PA,313,0,1013,11603,626,7175
2021-01-14,PR,20,0,52,0,61,177
2021-01-14,RI,9,56,53,3467,34,901
2021-01-14,SC,23,92,465,34882,290,5802
2021-01-14,SD,10,20,56,556,31,317
2021-01-14,TN,84,98,781,20429,436,4983
2021-01-14,TX,426,0,3662,106445,0,23064
2021-01-14,UT,11,89,194,5274,0,2742
2021-01-14,VA,74,125,583,28248,366,5294
2021-01-14,VT,4,0,8,1282,0,205
2021-01-14,WA,49,12,215,15270,93,2658
2021-01-14,WI,49,99,224,6987,0,3140
2021-01-14,WV,31,0,187,13117,97,827
2021-01-14,WY,0,10,0,220,0,412
2021-01-13,AK,2,34,0,12721,8,406
2021-01-13,AL,187,642,0,6653,0,3147
2021-01-13,AR,65,101,432,9097,255,2467
2021-01-13,AZ,191,474,1158,10993,805,5629
2021-01-13,CA,589,0,4929,300516,0,33751
2021-01-13,CO,43,152,0,7235,0,2438
2021-01-13,CT,87,0,0,53365,0,3529
2021-01-13,DC,6,0,59,3345,20,177
2021-01-13,DE,3,0,55,2893,0,727
2021-01-13,FL,174,440,0,39033,0,13664
2021-01-13,GA,141,356,0,20450,0,5662
2021-01-13,GU,0,0,3,295,3,21
2021-01-13,HI,3,11,26,0,22,106
2021-01-13,IA,10,0,79,2310,30,1441
2021-01-13,ID,12,49,72,779,0,1034
2021-01-13,IL,120,0,749,70245,386,5862
2021-01-13,IN,59,174,550,6192,284,3642
2021-01-13,KS,100,189,217,12877,65,4539
2021-01-13,KY,47,154,403,20200,225,4553
2021-01-13,LA,51,0,0,16174,235,2896
2021-01-13,MA,86,506,461,15517,286,5918
2021-01-13,MD,37,126,454,8820,0,2516
