date,policy_type,start_stop,comments,total_phases,state
2020-05-18,manufacturing,start,"Policy_Details: Open with adjusted ""Safe Practices""   Source information: https://governor.hawaii.gov/wp-content/uploads/2020/05/2005088-ATG_Eighth-Supplementary-Proclamation-for-COVID-19-distribution-signed.pdf",,HI
2020-05-04,phase 2,start,"Policy_Details: manufacturering & industrial operations, public libraries, retail & commercial businesses open at 50% capacity (shopping mall) indoor common areas open at 25% capacity) Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
2020-05-22,entertainment,start,"Policy_Details: On May 22, many attractions, including zoos, museums, aquariums, planetariums, water parks and amusement park rides, reopened with additional physical distancing guidelines.   Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/",,SC
2020-07-09,phase 3,start,"Policy_Details: Governor Polis issued Executive Order D 2020 127 that presents eight criteria that local communities must be able to meet before moving to the next phase, Protect Our Neighbors Phase Level: 3, Phase Details Source information: https://www.colorado.gov/governor/2020-executive-orders",,CO
2020-09-30,non-essential businesses,start,"Policy_Details: On 9/30 amended Safer at Home order issued by Scott Harris, State Health Officer (previous order was set to expire 10/2, only change is for HOSPITALS AND NURSING HOMES- Subject to restrictions, patients and residents will be allowed visits from one caregiver or one visitor at a time):
WHAT’S STAYING THE SAME:
EMPLOYERS
Businesses may open subject to sanitation and social-distancing guidelines
RETAIL STORES
May open subject to 50% occupancy rate, social-distancing and sanitation rules
CLOSE-CONTACT SERVICE PROVIDERS
Close-contact service providers (such as barber shops, hair salons, nail salons, tattoo services) may open
subject to social-distancing and sanitation rules and guidelines   Source information: https://governor.alabama.gov/assets/2020/09/GKI-0040-2020-Health-Order-Update-Nov-8-Horizontal-2.pdf,https://governor.alabama.gov/assets/2020/09/Safer-at-Home-Order-Final-9.29.2020.pdf",,AL
2020-05-04,outdoor and recreation,start,"Policy_Details: """"""During Phase I, we can gradually start to reopen economic and social activity. This will be a deliberate process, and is flexible to adapt to the situation. Some communities may be able to reopen at a faster rate, while others may need to continue restrictions to keep the virus from spreading. During Phase I, we should limit our activity and interactions and continue to maintain social distancing and practice good hygiene to protect our neighbors and ourselves.

Citizens who feel sick should stay home!
Continue to practice good hygiene, including:
Washing hands with soap and water, or using hand sanitizer, especially after touching frequently used items or surfaces;
Avoiding touching your face;
Sneezing or coughing into a tissue, or the inside of your elbow; and
Disinfecting frequently used items and surfaces as much as possible.
Avoid socializing in groups that do not readily allow for appropriate physical distancing (receptions, trade shows, etc.). When in public (parks, outdoor recreation spaces, shopping malls, etc.), individuals should maximize physical distance from others.
Minimize travel to the extent possible.""""""   Source information: https://governor.mo.gov/sites/gov/files/media/pdf/2020/04/Economic-Reopening-Phase-1.pdf",,MO
2020-10-27,phase 3,start,"Policy_Details: No greater than 50 people at indoor venues. Outdoor venues must operate at 25% capacity and follow guidelines. Guidelines include mask wearing, physical distancing, and frequent sanitation. Polling, educational activity, and religious activity are exempt from the gathering limits.   Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/10/stay-healthy-order-stage3_2020oct27.pdf",4.0,ID
2020-06-15,entertainment,start,"Policy_Details: Outdoor dining (beginning on June 15)
Limited in-person retail (beginning on June 15)
Hair salons and barber shops (beginning on June 22)
Youth summer programs (beginning on July 6)
In-person clinical research/labs
Limited fitness/gyms
Limited in-person government services (e.g. – Motor Vehicle Commission)
Museums/libraries Phase Level: 2, Phase Details Source information: https://covid19.nj.gov/faqs/nj-information/general-public/how-does-new-jersey-plan-to-lift-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",,NJ
2020-05-15,entertainment,start,"Policy_Details: drive-in operations (i.e. movie theaters, restaurants, religious services, graduation ceremonies) permited    Source information: https://accd.vermont.gov/news/update-new-work-safe-additions-be-smart-stay-safe-order",,VT
2020-03-23,non-essential businesses,start,"Policy_Details: spas, salons, barber shops, tattoo parlors closed  Phase Level: 1, Phase Details Source information: https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf",5.0,IN
